Month,Ticker,Open,Close,Profit,qty,Gewinn
21-09,ALGN,713.14,665.43,-6.7,10.0,-477.1
21-09,ASML,800.21,710.9,-11.2,9.0,-803.79
21-09,MRNA,382.84,384.86,0.5,19.0,38.38
21-09,TEAM,369.05,391.42,6.1,20.0,447.4
